,Zipcode,Population,Household Income,Median Age,Per Capita Income,lat,lng,city,state_id,Age_sqd,Popn_sqd,Income_sqd,zscore_age,zscore_pop,zscore_inc,c_zscore
2592,10037,21139.0,45041.0,35.3,30750.0,40.81286,-73.93739000000001,New York,NY,28.08999999999997,113191440.09777205,157682080.63144043,0.643203682205044,0.2924944388798172,0.46950873763198375,0.0883303221438702
2628,10302,18204.0,64103.0,34.9,27428.0,40.63043,-74.13772,Staten Island,NY,24.009999999999987,59353874.63260666,42313040.10561357,0.6701317061895689,0.48767257698748234,0.7251952855926425,0.23699734093689964
2633,10307,15232.0,80893.0,39.7,39923.0,40.507940000000005,-74.23965,Staten Island,NY,94.09000000000006,22393211.320009895,542649916.8515671,0.3469954183752687,0.6853112231394349,0.01588254558327684,0.0037768670302307824
2636,10310,23262.0,72093.0,38.8,32884.0,40.63235,-74.11617,Staten Island,NY,77.43999999999996,162872385.50579455,210100602.05916741,0.40758347234045034,0.15131447731164915,0.3876486034797877,0.023907560894278646
2659,10470,15432.0,57160.0,40.5,31829.0,40.89594,-73.86811999999999,Bronx,NY,110.25,24326069.954774145,191977.673382741,0.29313937040621885,0.6720111796568001,0.9814897439555991,0.19334654446121102
2671,10507,7068.0,64500.0,35.6,42439.0,41.22842,-73.68629,Bedford Hills,NY,31.360000000000017,11777617.848933179,47635497.96613433,0.62300766421665,0.771781001899414,0.7084235668443566,0.34062810106128394
2704,10553,10429.0,71477.0,41.0,29637.0,40.90854,-73.82173,Mount Vernon,NY,121.0,5020.206146413352,192622406.02369943,0.25947934042556264,0.9952882326250913,0.4136722275325434,0.10683363848485675
2707,10566,23951.0,54332.0,39.3,31059.0,41.289190000000005,-73.91845,Peekskill,NY,86.48999999999995,180933344.5025574,10667752.601461556,0.373923442359794,0.10549582751397235,0.8620176517134022,0.03400432320111588
2726,10601,11612.0,65435.0,39.3,58095.0,41.03309,-73.76493,White Plains,NY,86.48999999999995,1236870.0307769566,61416177.6628268,0.373923442359794,0.9260420101751241,0.6689234231928524,0.23162732188711713
2730,10606,16600.0,79882.0,36.4,40344.0,41.020509999999994,-73.77566999999999,White Plains,NY,40.95999999999998,37211788.38179737,496569856.34530395,0.5691516162476002,0.5943389257182131,0.05859339609843284,0.01982032717112687
2733,10703,21854.0,64456.0,38.2,29507.0,40.95985,-73.88028,Yonkers,NY,67.24000000000005,128916644.71705423,47030071.39217233,0.4479755083172374,0.2449467834293979,0.7102823971338392,0.07793940095302249
2744,10805,19215.0,71439.0,42.1,37532.0,40.89645,-73.7804,New Rochelle,NY,146.41000000000003,75953780.03133994,191569057.61891407,0.1854272744681188,0.4204408571827636,0.4152775809643693,0.03237553946800866
2758,10923,8244.0,80149.0,39.4,33558.0,41.20235,-73.9998,Garnerville,NY,88.35999999999997,5088874.621346974,508540719.87366426,0.3671914363636627,0.8499852575773065,0.04731367593270919,0.014766944008856552
2761,10926,3467.0,80625.0,38.7,38374.0,41.30164,-74.12447,Harriman,NY,75.69000000000005,49461027.13000284,530235702.62834406,0.4143154783365812,0.5323137189945752,0.027204511891943284,0.005999841195479142
2762,10927,12081.0,61336.0,34.0,26198.0,41.19257,-73.96708000000001,Haverstraw,NY,16.0,2500024.5292991246,13971503.42032152,0.73071976015475,0.8948534082083456,0.8420903631153294,0.5506319983766779
2765,10931,1017.0,70833.0,38.3,27657.0,41.14745,-74.16456,Hillburn,NY,68.88999999999996,89924508.85414077,175161186.53207383,0.44124350232110654,0.3693881863322993,0.4408787435876972,0.07185888684124779
2769,10941,13176.0,73056.0,38.7,34196.0,41.48859,-74.34496999999999,Middletown,NY,75.69000000000005,7161760.554633398,238945047.2120175,0.4143154783365812,0.8220356701409203,0.3469655678258854,0.11817026237157373
2778,10963,4276.0,74306.0,42.6,25758.0,41.46332,-74.54425,Otisville,NY,158.76000000000005,38736351.307624236,279152165.7904834,0.1517672444874626,0.5861123948818328,0.2941578891474038,0.026166127620703097
2787,10976,2357.0,63875.0,37.0,33975.0,41.02857,-73.92631,Sparkill,NY,49.0,66306061.70706125,39398813.67690139,0.5287595802708126,0.4584984776659522,0.7348274061835975,0.17814822215328738
2796,10988,889.0,80972.0,43.4,38627.0,41.301559999999995,-74.5428,Unionville,NY,179.55999999999997,92368503.32789165,546336743.7457262,0.09791119651841274,0.36087615850341304,0.012545100290796807,0.00044326627132340926
2800,10993,5433.0,50559.0,36.8,23208.0,41.21013,-73.97551999999999,West Haverstraw,NY,46.23999999999996,25673003.50973543,49549668.884220175,0.5422235922630754,0.6630531464288749,0.7026229543902732,0.25260915382839305
2817,11096,8311.0,56917.0,35.4,23642.0,40.621179999999995,-73.75303000000001,Inwood,NY,29.159999999999986,4791079.263992998,463968.82172897586,0.6364716762089127,0.8544407721439892,0.9712239312205023,0.5281781372264912
2865,11356,23362.0,60493.0,37.1,25776.0,40.78498,-73.84161,College Point,NY,50.41000000000002,165434814.82317668,8380141.651004137,0.5220275742746813,0.1446644555703318,0.8777038616160975,0.06628317295078037
2875,11366,14650.0,78990.0,40.6,33892.0,40.72817,-73.78491,Fresh Meadows,NY,112.36000000000003,17223716.692845926,457611136.5277107,0.2864073644100875,0.724014349673902,0.09627695560339733,0.01996428235811006
2893,11415,19372.0,68294.0,38.9,39619.0,40.70792,-73.82821,Kew Gardens,NY,79.20999999999998,78714985.05962989,114401152.27549393,0.400851466344319,0.41000032304889533,0.5481417005194291,0.09008666679265258
