,Zipcode,Population,Household Income,Median Age,Median Male Age,Median Female Age,Per Capita Income,lat,lng,city,state_id,state_name,Age_sqd,Popn_sqd,Income_sqd,zscore_age,zscore_pop,zscore_inc,c_zscore
19375,57107,10102.0,56953.0,30.9,30.0,31.5,27131.0,43.594879999999996,-96.82121,Sioux Falls,SD,South Dakota,0.8099999999999974,158287.33830686338,416221.8367887929,0.9394119460348188,0.9735426615309835,0.9727447923664425,0.8896311487664516
29389,86040,10821.0,57377.0,30.9,30.4,31.6,20904.0,36.69612,-111.41906999999999,Page,AZ,Arizona,0.8099999999999974,103135.13028434482,48908.45860441604,0.9394119460348188,0.9786436821489446,0.9906571569741836,0.9107602272419569
30894,93926,9262.0,57246.0,30.1,30.4,28.2,18743.0,36.52923,-121.4077,Gonzales,CA,California,0.010000000000000285,1532281.0722970103,124011.43158119285,0.9932679940038687,0.9176824789039174,0.9851229122486787,0.8979441005134539
